School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,Locality_y,VCE Median Study Score,Percentage of study scores of 40 and over
Cheltenham Secondary College,MOORABBIN,3189,67481.0,57136.0,CHELTENHAM,29.0,5.7
Sandringham College,SANDRINGHAM,3191,90913.0,62938.0,SANDRINGHAM,30.0,7.9
Beaumaris Secondary College,Beaumaris,3193,88820.0,59796.0,,,
Tombolo Academy,BEAUMARIS,3193,88820.0,59796.0,,,
Mentone Girls Secondary College,MENTONE,3194,70211.0,59819.0,,,
Kilbreda College,MENTONE,3194,70211.0,59819.0,MENTONE,33.0,13.1
Mentone Grammar School,MENTONE,3194,70211.0,59819.0,MENTONE,34.0,16.7
Mentone Girls' Grammar School,MENTONE,3194,70211.0,59819.0,MENTONE,35.0,17.9
St Bede's College,MENTONE,3194,70211.0,59819.0,MENTONE,30.0,5.9
Mordialloc College,MORDIALLOC,3195,70672.0,59343.0,MORDIALLOC,30.0,7.7
Parkdale Secondary College,MORDIALLOC,3195,70672.0,59343.0,MORDIALLOC,30.0,4.5
Patterson River Secondary College,SEAFORD,3198,59323.0,54085.0,,,
Mount Erin Secondary College,FRANKSTON SOUTH,3199,58074.0,51193.0,,,
Frankston High School,FRANKSTON,3199,58074.0,51193.0,FRANKSTON,31.0,9.8
McClelland Secondary College,FRANKSTON,3199,58074.0,51193.0,FRANKSTON,29.0,3.6
John Paul College,FRANKSTON EAST,3199,58074.0,51193.0,FRANKSTON,29.0,5.3
Bayside Christian College,FRANKSTON,3199,58074.0,51193.0,LANGWARRIN SOUTH,30.0,5.0
Monterey Secondary College,FRANKSTON NORTH,3200,47617.0,46146.0,FRANKSTON NORTH,26.0,0.0
Carrum Downs Secondary College,CARRUM DOWNS,3201,55508.0,52771.0,,,
McKinnon Secondary College,MCKINNON,3204,74927.0,57544.0,MCKINNON,33.0,17.2
Kilvington Grammar School,ORMOND,3204,74927.0,57544.0,ORMOND,35.0,20.2
Our Lady of the Sacred Heart College,BENTLEIGH,3204,74927.0,57544.0,,,
Youth2Industry College,SOUTH MELBOURNE,3205,84350.0,66561.0,,,
Albert Park College,Albert Park,3206,115483.0,71490.0,ALBERT PARK,31.0,10.1
Lara Secondary College,LARA,3212,62541.0,56564.0,LARA,25.0,0.0
Northern Bay P-12 College,CORIO,3214,46424.0,44411.0,CORIO,24.0,1.9
Geelong Grammar School,CORIO,3214,46424.0,44411.0,CORIO,31.0,8.7
North Geelong Secondary College,NORTH GEELONG,3215,58232.0,51732.0,,,
Kardinia International College,GEELONG,3215,58232.0,51732.0,,,
Grovedale College,GROVEDALE,3216,58795.0,50315.0,GROVEDALE,25.0,2.0
Belmont High School,BELMONT,3216,58795.0,50315.0,BELMONT,28.0,6.3
Oberon High School,Armstrong Creek,3216,58795.0,50315.0,ARMSTRONG CREEK,29.0,4.0
Christian College Geelong,HIGHTON,3216,58795.0,50315.0,,,
Iona College Geelong,CHARLEMONT,3217,60216.0,55153.0,,,
Clonard College,HERNE HILL,3218,63271.0,54692.0,HERNE HILL,30.0,5.6
Geelong High School,EAST GEELONG,3219,53124.0,48451.0,EAST GEELONG,27.0,3.1
Newcomb Secondary College,NEWCOMB,3219,53124.0,48451.0,NEWCOMB,26.0,3.2
Matthew Flinders Girls Secondary College,GEELONG,3220,66052.0,52212.0,,,
Western Heights Secondary College,GEELONG,3220,66052.0,52212.0,,,
Sacred Heart College,NEWTOWN,3220,66052.0,52212.0,YARRAWONGA,28.0,3.4
The Geelong College,NEWTOWN,3220,66052.0,52212.0,NEWTOWN,32.0,13.0
St Joseph's College Geelong,NEWTOWN,3220,66052.0,52212.0,,,
Geelong Lutheran College,GEELONG,3220,66052.0,52212.0,ARMSTRONG CREEK,28.0,4.2
Covenant College,GEELONG,3221,65830.0,52818.0,BELL POST HILL,30.0,8.0
Geelong Baptist College,LOVELY BANKS,3221,65830.0,52818.0,LOVELY BANKS,25.0,1.9
Bellarine Secondary College,DRYSDALE,3222,55743.0,49770.0,DRYSDALE,26.0,3.1
Saint Ignatius College Geelong,DRYSDALE,3222,55743.0,49770.0,,,
Surf Coast Secondary College,Torquay,3228,65548.0,54212.0,,,
Lorne P-12 College,Lorne P-12 College,3232,43508.0,38098.0,LORNE,27.0,1.9
Apollo Bay P-12 College,APOLLO BAY,3233,42557.0,35944.0,APOLLO BAY,29.0,1.5
Lavers Hill K-12 College,LAVERS HILL,3238,43306.0,39088.0,LAVERS HILL,27.0,0.0
Colac Secondary College,Colac,3250,50264.0,47314.0,COLAC,24.0,1.1
Trinity College Colac Inc,COLAC,3250,50264.0,47314.0,,,
Camperdown College,CAMPERDOWN,3260,48579.0,43935.0,CAMPERDOWN,29.0,8.1
Mercy Regional College,CAMPERDOWN,3260,48579.0,43935.0,CAMPERDOWN,26.0,1.1
Terang College,TERANG,3264,48814.0,44959.0,,,
Cobden Technical School,COBDEN,3266,48031.0,44458.0,COBDEN,25.0,0.0
Timboon P-12 School,TIMBOON,3268,46566.0,40580.0,TIMBOON,28.0,1.0
Mortlake P-12 College,MORTLAKE,3272,43835.0,41600.0,,,
Brauer Secondary College,Warrnambool,3280,51319.0,46242.0,,,
Warrnambool College,Warrnambool,3280,51319.0,46242.0,WARRNAMBOOL,26.0,2.7
Emmanuel College Inc.,WARRNAMBOOL,3280,51319.0,46242.0,,,
King's College,WARRNAMBOOL,3280,51319.0,46242.0,,,
Hawkesdale P12 College,HAWKESDALE,3287,42002.0,36675.0,,,
Baimbridge College,HAMILTON,3300,49304.0,45316.0,HAMILTON,24.0,0.7
The Hamilton and Alexandra College,HAMILTON,3300,49304.0,45316.0,,,
Monivae College,HAMILTON,3300,49304.0,45316.0,HAMILTON,28.0,4.5
Good Shepherd College,HAMILTON,3300,49304.0,45316.0,HAMILTON,26.0,8.5
Heywood District Secondary College,HEYWOOD,3304,50243.0,45752.0,,,
Portland Secondary College,PORTLAND,3305,56483.0,49104.0,PORTLAND,28.0,3.2
Bayview College,PORTLAND,3305,56483.0,49104.0,PORTLAND,30.0,4.2
Casterton Secondary College,CASTERTON,3311,47915.0,43740.0,CASTERTON,33.0,4.2
Edenhope College,EDENHOPE,3318,44015.0,40400.0,EDENHOPE,27.0,3.0
Derrinallum P-12 College,DERRINALLUM,3325,42801.0,39402.0,,,
Bannockburn P-12 College,BANNOCKBURN,3331,60471.0,54540.0,,,
Springside West Secondary College,Fraser Rise,3336,,,,,
Melton Secondary College,MELTON,3337,54689.0,51291.0,MELTON,26.0,4.7
Kurunjang Secondary College,MELTON,3337,54689.0,51291.0,MELTON,25.0,1.7
Catholic Regional College,MELTON,3337,54689.0,51291.0,CAROLINE SPRINGS,,
Catholic Regional College,MELTON,3337,54689.0,51291.0,MELTON WEST,28.0,2.0
Catholic Regional College,MELTON,3337,54689.0,51291.0,SYDENHAM,29.0,3.7
Melton Christian College,MELTON,3337,54689.0,51291.0,BROOKFIELD,26.0,0.6
Staughton College,MELTON SOUTH,3338,56247.0,52408.0,MELTON SOUTH,27.0,3.1
Al Iman College,MELTON SOUTH,3338,56247.0,52408.0,,,
Bacchus Marsh College,BACCHUS MARSH,3340,62158.0,55522.0,BACCHUS MARSH,24.0,0.8
Bacchus Marsh Grammar,BACCHUS MARSH,3340,62158.0,55522.0,BACCHUS MARSH,31.0,10.1
Mount Clear College,BALLARAT,3350,57283.0,50000.0,MOUNT CLEAR,27.0,2.1
St Patrick's College Ballarat,BALLARAT,3350,57283.0,50000.0,,,
Loreto College,BALLARAT,3350,57283.0,50000.0,BALLARAT,31.0,6.3
Damascus College,MOUNT CLEAR,3350,57283.0,50000.0,MOUNT CLEAR,28.0,2.9
Ballarat Clarendon College,BALLARAT,3350,57283.0,50000.0,BALLARAT,38.0,38.4
Lake Bolac College,LAKE BOLAC,3351,53813.0,48714.0,LAKE BOLAC,,
Woodmans Hill Secondary College,Bakery Hill,3354,,,BALLARAT EAST,24.0,1.0
Yuille Park P-8 Community College,Wendouree,3355,50669.0,45840.0,,,
Ballarat High School,LAKE GARDENS,3355,50669.0,45840.0,BALLARAT,28.0,3.9
Mount Rowan Secondary College,Wendouree,3355,50669.0,45840.0,WENDOUREE,25.0,0.0
Ballarat Grammar,WENDOUREE,3355,50669.0,45840.0,WENDOUREE,32.0,10.6
Phoenix P-12 Community College,Sebastopol,3356,48140.0,45583.0,,,
Ballarat Christian College,SEBASTOPOL,3356,48140.0,45583.0,SEBASTOPOL,29.0,2.4
Beaufort Secondary College,Beaufort,3373,51989.0,45790.0,BEAUFORT,28.0,0.0
Ararat Secondary College,ARARAT,3377,52066.0,47968.0,ARARAT,23.0,0.0
Marian College,ARARAT,3377,52066.0,47968.0,,,
Stawell Secondary College,STAWELL,3380,51116.0,47322.0,STAWELL,25.0,2.4
Murtoa College,MURTOA,3390,43691.0,41762.0,,,
Warracknabeal Secondary College,WARRACKNABEAL,3393,46267.0,43764.0,,,
Hopetoun P-12 College,Hopetoun,3396,41611.0,39009.0,HOPETOUN,31.0,0.0
Horsham College,HORSHAM,3402,,,HORSHAM,29.0,1.8
St Brigid's College,HORSHAM,3402,,,HORSHAM,27.0,4.8
Holy Trinity Lutheran College,HORSHAM,3402,,,HORSHAM,29.0,10.0
Balmoral K-12 Community College,Balmoral,3407,40972.0,36482.0,,,
Goroke P-12 College,GOROKE,3412,50998.0,37738.0,GOROKE,,
Dimboola Memorial Secondary College,DIMBOOLA,3414,50774.0,45147.0,,,
Nhill College,NHILL,3418,44368.0,43462.0,NHILL,27.0,1.3
Kaniva College,KANIVA,3419,43491.0,38265.0,,,
Rainbow P-12 College,Rainbow,3424,42245.0,40551.0,RAINBOW,28.0,0.0
Sunbury College,Sunbury,3429,62356.0,55881.0,SUNBURY,25.0,1.7
Sunbury Downs Secondary College,SUNBURY,3429,62356.0,55881.0,,,
Salesian College,SUNBURY,3429,62356.0,55881.0,CHADSTONE,30.0,4.0
Red Rock Christian College,SUNBURY,3429,62356.0,55881.0,,,
Alice Miller School,ROMSEY,3434,63200.0,54519.0,MACEDON,32.0,9.3
Gisborne Secondary College,GISBORNE,3437,72624.0,60838.0,GISBORNE,26.0,2.1
Braemar College,WOODEND,3442,72000.0,57365.0,WOODEND,32.0,12.1
Kyneton High School,KYNETON,3444,59453.0,49968.0,,,
Sacred Heart College,KYNETON,3444,59453.0,49968.0,YARRAWONGA,28.0,3.4
Castlemaine Secondary College,CASTLEMAINE,3450,51187.0,44933.0,CASTLEMAINE,28.0,6.5
Castlemaine Steiner School & Kindergarten,CASTLEMAINE,3450,51187.0,44933.0,,,
Olivet Christian College,CAMPBELLS CREEK,3451,52508.0,46984.0,,,
Daylesford Secondary College,DAYLESFORD,3460,52140.0,42634.0,DAYLESFORD,27.0,2.0
Maryborough Education Centre,Maryborough,3465,45704.0,42715.0,MARYBOROUGH,27.0,1.2
Highview College,MARYBOROUGH,3465,45704.0,42715.0,,,
St Arnaud Secondary College,ST ARNAUD,3478,46251.0,42244.0,ST ARNAUD,29.0,0.0
Donald High School,DONALD,3480,43844.0,39528.0,DONALD,28.0,8.8
Birchip P-12 School,BIRCHIP,3483,46623.0,41831.0,BIRCHIP,28.0,7.0
Ouyen P-12 College,OUYEN,3490,46599.0,42184.0,OUYEN,27.0,0.0
Werrimull P-12 School,WERRIMULL,3496,46034.0,43156.0,,,
Red Cliffs Secondary College,RED CLIFFS,3496,46034.0,43156.0,RED CLIFFS,24.0,0.6
Irymple Secondary College,IRYMPLE,3498,50483.0,45434.0,,,
Henderson College,IRYMPLE,3498,50483.0,45434.0,,,
Mildura Christian College,IRYMPLE,3498,50483.0,45434.0,,,
St Joseph's College Mildura,MILDURA,3500,49597.0,45420.0,,,
Trinity Lutheran College,MILDURA,3500,49597.0,45420.0,,,
Chaffey Secondary College,MILDURA,3502,,,,,
Mildura Senior College,MILDURA,3502,,,MILDURA,25.0,1.3
Merbein P-10 College,Merbein,3505,49027.0,45577.0,,,
Murrayville Community College,MURRAYVILLE,3512,42280.0,36678.0,MURRAYVILLE,29.0,0.0
Wedderburn College,WEDDERBURN,3518,42954.0,41854.0,WEDDERBURN,30.0,5.6
Charlton College,CHARLTON,3525,44141.0,40549.0,CHARLTON,31.0,11.1
Wycheproof P-12 College,WYCHEPROOF,3527,46081.0,43391.0,WYCHEPROOF,28.0,15.0
Tyrrell College,SEA LAKE,3533,45735.0,43018.0,SEA LAKE,34.0,12.2
Boort District P-12 School,Boort,3537,44945.0,41518.0,BOORT,29.0,3.7
Manangatang P-12 College,MANANGATANG,3546,45359.0,43963.0,MANANGATANG,,
Robinvale College,ROBINVALE,3549,41529.0,37101.0,ROBINVALE,27.0,0.0
St Mary's School,ROBINVALE,3549,41529.0,37101.0,,,
Bendigo South East 7-10 Secondary College,Strathdale,3550,54143.0,48115.0,,,
Catherine McAuley College,BENDIGO,3550,54143.0,48115.0,BENDIGO,29.0,6.2
Creek Street Christian College,BENDIGO,3550,54143.0,48115.0,,,
Girton Grammar School,BENDIGO,3550,54143.0,48115.0,BENDIGO,32.0,12.7
Victory Christian College,STRATHDALE,3550,54143.0,48115.0,STRATHDALE,27.0,1.8
Marist College Bendigo,MAIDEN GULLY,3551,58082.0,51948.0,MAIDEN GULLY,28.0,4.2
Weeroona College Bendigo,BENDIGO,3552,,,,,
Bendigo Senior Secondary College,BENDIGO,3552,,,,,
Crusoe 7-10 Secondary College,KANGAROO FLAT,3555,51114.0,48128.0,,,
Eaglehawk Secondary College,EAGLEHAWK,3556,48910.0,46432.0,,,
Rochester Secondary College,ROCHESTER,3561,47891.0,44177.0,ROCHESTER,31.0,4.2
Echuca College,ECHUCA,3564,50340.0,45185.0,ECHUCA,27.0,2.0
St Joseph's College,ECHUCA,3564,50340.0,45185.0,ECHUCA,29.0,3.6
St Joseph's College,ECHUCA,3564,50340.0,45185.0,FERNTREE GULLY,32.0,7.9
St Joseph's College,ECHUCA,3564,50340.0,45185.0,MILDURA,29.0,4.2
St Joseph's College,ECHUCA,3564,50340.0,45185.0,NEWTOWN,31.0,8.8
River City Christian College,ECHUCA,3564,50340.0,45185.0,,,
Cohuna Secondary College,COHUNA,3568,46986.0,42948.0,COHUNA,27.0,2.7
East Loddon P-12 College,DINGEE,3571,42550.0,36670.0,DINGEE,34.0,13.9
Pyramid Hill College,PYRAMID HILL,3575,41077.0,38276.0,,,
Kerang Technical High School,KERANG,3579,44221.0,41058.0,KERANG,28.0,6.5
Kerang Christian College,KERANG,3579,44221.0,41058.0,KERANG,25.0,0.0
Swan Hill College,SWAN HILL,3585,48911.0,45350.0,SWAN HILL,27.0,1.4
St Mary MacKillop College,SWAN HILL,3585,48911.0,45350.0,SWAN HILL,28.0,2.8
Rushworth P-12 College,RUSHWORTH,3612,48520.0,45568.0,RUSHWORTH,25.0,2.2
Kyabram P-12 College,KYABRAM,3619,,,KYABRAM,27.0,0.4
St Augustine's College,KYABRAM,3620,49529.0,46316.0,KYABRAM,26.0,1.2
Greater Shepparton Secondary College,Shepparton,3630,48998.0,44740.0,,,
Notre Dame College,SHEPPARTON,3630,48998.0,44740.0,SHEPPARTON,28.0,4.1
Shepparton Christian College Ltd,SHEPPARTON,3630,48998.0,44740.0,,,
Shepparton ACE Secondary College,SHEPPARTON,3630,48998.0,44740.0,,,
St Anne's College,KIALLA,3631,54658.0,48378.0,,,
Goulburn Valley Grammar School,SHEPPARTON,3632,,,,,
Numurkah Secondary College,NUMURKAH,3636,49516.0,46052.0,NUMURKAH,24.0,0.0
Nathalia Secondary College,NATHALIA,3638,47446.0,44478.0,NATHALIA,28.0,0.0
St Mary of the Angels College,NATHALIA,3638,47446.0,44478.0,,,
Cobram Secondary College,COBRAM,3644,48339.0,44073.0,COBRAM,26.0,0.9
Broadford Secondary College,BROADFORD,3658,57282.0,52013.0,BROADFORD,28.0,2.7
St Mary's College,SEYMOUR,3660,51436.0,46999.0,,,
Seymour College,Seymour,3661,,,SEYMOUR,26.0,2.6
Euroa Secondary College,EUROA,3666,48785.0,44042.0,EUROA,27.0,3.3
Benalla P-12 College,Benalla,3672,50217.0,46274.0,BENALLA,26.0,0.0
FCJ College,BENALLA,3672,50217.0,46274.0,,,
Australian Christian College Hume,BENALLA,3672,50217.0,46274.0,,,
Wangaratta High School,WANGARATTA,3676,,,WANGARATTA,26.0,3.9
Galen Catholic College,WANGARATTA,3676,,,,,
Cathedral College Wangaratta,WANGARATTA,3676,,,,,
Rutherglen High School,RUTHERGLEN,3685,51974.0,49701.0,RUTHERGLEN,25.0,1.1
Wodonga Middle Years College,Wodonga,3689,,,,,
Catholic College Wodonga,WODONGA,3689,,,WODONGA,29.0,3.2
Victory Lutheran College,WODONGA WEST,3689,,,WEST WODONGA,29.0,6.1
Wodonga Senior Secondary College,WODONGA,3690,53698.0,49988.0,,,
Grace Christian College Wodonga,LENEVA,3691,58246.0,53967.0,,,
Outdoor School,BOGONG,3699,45491.0,37030.0,,,
Mount Beauty Secondary College,MOUNT BEAUTY,3699,45491.0,37030.0,,,
Tallangatta Secondary College,TALLANGATTA,3700,48239.0,44352.0,TALLANGATTA,26.0,0.5
Corryong College,CORRYONG,3707,45874.0,39104.0,CORRYONG,31.0,9.2
Rubicon Outdoor School,THORNTON,3712,51202.0,45206.0,,,
Alexandra Secondary College,ALEXANDRA,3714,49870.0,44134.0,ALEXANDRA,27.0,5.2
Yea High School,YEA,3717,51386.0,42960.0,YEA,26.0,5.0
Mansfield Secondary College,MANSFIELD,3724,,,MANSFIELD,29.0,1.3
Mansfield Rudolf Steiner School,MANSFIELD,3724,,,,,
Yarrawonga College P-12,Yarrawonga,3730,49949.0,44212.0,YARRAWONGA,28.0,3.3
Sacred Heart College,YARRAWONGA,3730,49949.0,44212.0,YARRAWONGA,28.0,3.4
Myrtleford P-12 College,Myrtleford,3736,,,MYRTLEFORD,28.0,3.9
Marian College,MYRTLEFORD,3737,48539.0,44265.0,,,
Bright P-12 College,BRIGHT,3741,48404.0,41948.0,BRIGHT,30.0,2.6
Beechworth Secondary College,Beechworth,3747,52145.0,46620.0,BEECHWORTH,29.0,13.7
Edgars Creek Secondary College,Wollert,3750,57135.0,53519.0,,,
The Lakes South Morang College,South Morang,3752,59384.0,54000.0,,,
Marymede Catholic College,SOUTH MORANG,3752,59384.0,54000.0,SOUTH MORANG,30.0,6.8
Hazel Glen College,Doreen,3754,61238.0,55680.0,DOREEN,26.0,1.2
Mernda Central P-12 College,Mernda,3754,61238.0,55680.0,,,
Plenty Valley Christian College,DOREEN,3754,61238.0,55680.0,DOREEN,31.0,4.1
Wallan Secondary College,Wallan,3756,59117.0,54227.0,WALLAN,23.0,1.0
Whittlesea Secondary College,WHITTLESEA,3757,59011.0,51032.0,WHITTLESEA,23.0,1.8
Assumption College,KILMORE,3764,59784.0,53203.0,KILMORE,28.0,4.0
The Kilmore International School,KILMORE,3764,59784.0,53203.0,,,
Healesville High School,HEALESVILLE,3777,53943.0,47436.0,HEALESVILLE,27.0,1.3
Emerald Secondary College,EMERALD,3782,60982.0,52461.0,EMERALD,28.0,2.9
Sherbrooke Community School,SASSAFRAS,3787,65126.0,52570.0,SASSAFRAS,28.0,3.3
Monbulk College,MONBULK,3793,54527.0,48512.0,MONBULK,27.0,5.6
Mountain District Christian School,MONBULK,3793,54527.0,48512.0,,,
Mount Evelyn Christian School/Ranges TEC,MOUNT EVELYN,3796,57320.0,51539.0,,,
Upper Yarra Secondary College,Yarra Junction,3797,51162.0,45953.0,YARRA JUNCTION,27.0,1.5
Little Yarra Steiner School,YARRA JUNCTION,3797,51162.0,45953.0,YARRA JUNCTION,,
John Monash Science School,Monash University,3800,33410.0,12364.0,CLAYTON,34.0,17.1
Gleneagles Secondary College,Endeavour Hills,3802,54567.0,50264.0,ENDEAVOUR HILLS,28.0,5.2
Maranatha Christian School,ENDEAVOUR HILLS,3802,54567.0,50264.0,ENDEAVOUR HILLS,30.0,8.8
Hallam Senior Secondary College,Hallam,3803,50194.0,47009.0,,,
Fountain Gate Secondary College,Hallam,3803,50194.0,47009.0,,,
Narre Warren South P-12 College,NARRE WARREN SOUTH,3805,55224.0,50626.0,,,
Nossal High School,NARRE WARREN,3805,55224.0,50626.0,BERWICK,36.0,26.3
Alkira Secondary College,Narre Warren South,3805,55224.0,50626.0,CRANBOURNE NORTH,30.0,3.2
Timbarra P-9 College,BERWICK,3806,62547.0,54450.0,,,
Berwick Secondary College,BERWICK,3806,62547.0,54450.0,BERWICK,31.0,5.7
Kambrya College,BERWICK,3806,62547.0,54450.0,BERWICK,31.0,6.4
St Margaret's School,BERWICK,3806,62547.0,54450.0,BERWICK,35.0,27.9
Heritage College,BERWICK,3806,62547.0,54450.0,OFFICER,21.0,0.0
St Francis Xavier College,BEACONSFIELD,3807,64424.0,54866.0,BEACONSFIELD,29.0,5.9
Officer Secondary College,Officer,3809,60421.0,56269.0,OFFICER,25.0,1.1
Pakenham Secondary College,PAKENHAM,3810,55168.0,51175.0,PAKENHAM,27.0,0.6
Edenbrook Secondary College,Pakenham,3810,55168.0,51175.0,,,
Beaconhills College,PAKENHAM,3810,55168.0,51175.0,BERWICK,31.0,6.0
Beaconhills College,PAKENHAM,3810,55168.0,51175.0,PAKENHAM,30.0,5.0
Lakeside College,PAKENHAM,3810,55168.0,51175.0,,,
St Thomas Aquinas College,TYNONG,3813,55066.0,47734.0,TYNONG,27.0,2.0
Drouin Secondary College,DROUIN,3818,53660.0,47984.0,DROUIN,27.0,1.5
Chairo Christian School,DROUIN,3818,53660.0,47984.0,DROUIN,29.0,1.1
Chairo Christian School,DROUIN,3818,53660.0,47984.0,NAR NAR GOON,30.0,2.4
Warragul Regional College,WARRAGUL,3820,56982.0,48688.0,WARRAGUL,26.0,0.3
Marist-Sion College,WARRAGUL,3820,56982.0,48688.0,,,
St Paul's Anglican Grammar School,WARRAGUL,3820,56982.0,48688.0,,,
Trafalgar High School,TRAFALGAR,3824,59030.0,51036.0,TRAFALGAR,26.0,0.9
Lowanna College,MOE,3825,56857.0,47654.0,NEWBOROUGH,27.0,2.5
Neerim District Secondary College,NEERIM SOUTH,3831,55740.0,47259.0,,,
Kurnai College,Morwell BC,3841,,,CHURCHILL,27.0,0.7
Traralgon College,TRARALGON,3844,64749.0,54190.0,TRARALGON,26.0,1.7
Lavalla Catholic College,TRARALGON,3844,64749.0,54190.0,TRARALGON,28.0,5.4
Sale College,SALE,3850,60713.0,49829.0,SALE,25.0,0.4
Catholic College Sale,SALE,3850,60713.0,49829.0,SALE,28.0,5.2
Gippsland Grammar,SALE,3853,,,SALE,32.0,9.8
Maffra Secondary College,MAFFRA,3860,57118.0,48066.0,MAFFRA,26.0,2.6
Mirboo North Secondary College,MIRBOO NORTH,3871,57041.0,47819.0,,,
Bairnsdale Secondary College,BAIRNSDALE,3875,49920.0,45224.0,BAIRNSDALE,25.0,1.0
Nagle College,BAIRNSDALE,3875,49920.0,45224.0,BAIRNSDALE,29.0,3.0
Orbost Secondary College,ORBOST,3888,47465.0,39492.0,ORBOST,29.0,10.4
Cann River P-12 College,CANN RIVER,3890,47665.0,42280.0,CANN RIVER,24.0,0.0
Mallacoota P-12 College,MALLACOOTA,3892,41030.0,33635.0,MALLACOOTA,30.0,9.3
Swifts Creek P-12 School,Swifts Creek,3896,49251.0,41580.0,SWIFTS CREEK,24.0,3.8
Lakes Entrance Secondary College,LAKES ENTRANCE,3909,45859.0,39416.0,,,
Elisabeth Murdoch College,LANGWARRIN,3910,59969.0,53932.0,LANGWARRIN,28.0,3.2
Woodleigh School,LANGWARRIN SOUTH,3911,56250.0,51094.0,LANGWARRIN SOUTH,33.0,8.6
Somerville Secondary College,Somerville,3912,57912.0,51063.0,SOMERVILLE,25.0,0.0
Flinders Christian Community College,TYABB,3913,58228.0,49914.0,,,
Western Port Secondary College,HASTINGS,3915,53162.0,48531.0,,,
Newhaven College,RHYLL,3923,50309.0,41262.0,RHYLL,31.0,8.8
Mount Eliza Secondary College,MOUNT ELIZA,3930,74841.0,55393.0,,,
Toorak College,MT ELIZA,3930,74841.0,55393.0,MOUNT ELIZA,35.0,20.3
Peninsula Grammar,MT ELIZA,3930,74841.0,55393.0,MOUNT ELIZA,33.0,12.8
Mornington Secondary College,MORNINGTON,3931,59820.0,50180.0,MORNINGTON,27.0,4.0
Padua College,MORNINGTON,3931,59820.0,50180.0,MORNINGTON,30.0,5.1
Balcombe Grammar School,MT MARTHA,3934,65146.0,51872.0,MOUNT MARTHA,30.0,3.1
Dromana Secondary College,DROMANA,3936,55790.0,47424.0,DROMANA,30.0,5.0
Rosebud Secondary College,ROSEBUD,3939,50947.0,45042.0,ROSEBUD,27.0,2.3
Korumburra Secondary College,KORUMBURRA,3950,51482.0,45719.0,,,
Leongatha Secondary College,LEONGATHA,3953,51028.0,45371.0,LEONGATHA,27.0,1.9
Mary MacKillop Catholic Regional College,LEONGATHA,3953,51028.0,45371.0,,,
Foster Secondary College,FOSTER,3960,49704.0,40852.0,FOSTER,28.0,5.4
Yarram Secondary College,YARRAM,3971,47997.0,43088.0,YARRAM,25.0,0.0
Hampton Park Secondary College,HAMPTON PARK,3976,50053.0,48681.0,,,
Lyndhurst Secondary College,CRANBOURNE,3977,55776.0,51798.0,CRANBOURNE,26.0,4.3
Cranbourne Secondary College,CRANBOURNE,3977,55776.0,51798.0,CRANBOURNE,28.0,2.9
Cranbourne West Secondary College,Cranbourne West,3977,55776.0,51798.0,,,
Cranbourne East Secondary College,Cranbourne,3977,55776.0,51798.0,,,
St Peter's College,CRANBOURNE,3977,55776.0,51798.0,CRANBOURNE,27.0,0.8
Casey Grammar School,CRANBOURNE EAST,3977,55776.0,51798.0,CRANBOURNE,30.0,5.7
Lighthouse Christian College Cranbourne,CRANBOURNE,3977,55776.0,51798.0,,,
Hillcrest Christian College,CLYDE NORTH,3978,58703.0,55210.0,CLYDE NORTH,30.0,4.3
Koo Wee Rup Secondary College,KOO WEE RUP,3981,52940.0,48627.0,,,
Wonthaggi Secondary College,WONTHAGGI,3995,45961.0,40803.0,WONTHAGGI,27.0,4.0
Village High School,WONTHAGGI,3995,45961.0,40803.0,,,
